,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1920-1929,0.0,0.495,0.064,0.259,0.128,0.0,0.0,0.002,0.0,0.004,0.023,0.0,0.001,0.018,0.0,0.004
1930-1939,0.0,0.446,0.077,0.277,0.134,0.0,0.0,0.006,0.0,0.003,0.023,0.0,0.004,0.023,0.002,0.006
1940-1949,0.0,0.455,0.045,0.26,0.166,0.0,0.0,0.006,0.0,0.004,0.028,0.001,0.005,0.027,0.002,0.002
1950-1959,0.0,0.356,0.047,0.259,0.208,0.0,0.0,0.01,0.0,0.009,0.036,0.0,0.008,0.062,0.001,0.004
1960-1969,0.0,0.28,0.037,0.249,0.211,0.0,0.0,0.021,0.0,0.007,0.048,0.001,0.015,0.125,0.002,0.004
1970-1979,0.0,0.258,0.025,0.249,0.216,0.0,0.0,0.022,0.0,0.011,0.059,0.001,0.037,0.106,0.006,0.008
1980-1989,0.0,0.26,0.024,0.191,0.2,0.0,0.001,0.026,0.0,0.017,0.066,0.001,0.05,0.137,0.02,0.008
1990-1999,0.0,0.218,0.026,0.175,0.231,0.002,0.0,0.012,0.0,0.015,0.069,0.004,0.044,0.166,0.029,0.009
2000-2009,0.0,0.25,0.035,0.155,0.201,0.0,0.0,0.01,0.0,0.01,0.09,0.007,0.061,0.14,0.032,0.008
2010-2019,0.0,0.302,0.054,0.149,0.174,0.0,0.0,0.017,0.0,0.017,0.079,0.008,0.037,0.103,0.05,0.012
2020-2029,0.0,0.167,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0
Total,0.0,0.317,0.04,0.202,0.215,0.0,0.0,0.012,0.0,0.009,0.047,0.002,0.054,0.083,0.013,0.006
