lemmas,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
info,0.014,0.0,0.13,0.097,0.091,0.089,0.081,0.0,0.0,0.0,0.082,0.077,0.063,0.06,0.06,0.051,0.042,0.014,0.031,0.017
prop,0.0,0.982,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.009,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
uppl,0.388,0.0,0.0,0.0,0.0,0.001,0.012,0.186,0.184,0.173,0.0,0.0,0.0,0.001,0.0,0.004,0.0,0.044,0.001,0.007
