lemmas,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
info,700,8,6498,4831,4559,4451,4072,15,1,10,4101,3827,3159,3002,2989,2534,2124,714,1538,850
prop,2,9321,2,1,0,0,0,8,6,90,5,5,0,0,3,4,3,3,3,39
uppl,8982,3,1,4,5,15,272,4315,4251,4016,3,2,9,12,3,82,9,1017,13,152
