,0,1,2,3,4,5,6,7,8,9
1920-1929,0.569,0.241,0.001,0.003,0.002,0.036,0.003,0.004,0.127,0.013
1930-1939,0.451,0.365,0.001,0.003,0.001,0.032,0.003,0.005,0.124,0.015
1940-1949,0.42,0.351,0.009,0.013,0.013,0.032,0.01,0.023,0.11,0.019
1950-1959,0.359,0.338,0.009,0.011,0.011,0.062,0.018,0.036,0.138,0.019
1960-1969,0.234,0.203,0.039,0.046,0.053,0.122,0.071,0.072,0.119,0.041
1970-1979,0.108,0.095,0.084,0.095,0.116,0.121,0.148,0.105,0.068,0.061
1980-1989,0.064,0.071,0.124,0.126,0.132,0.119,0.137,0.119,0.04,0.068
1990-1999,0.032,0.038,0.183,0.16,0.14,0.113,0.119,0.118,0.025,0.071
2000-2009,0.024,0.024,0.261,0.185,0.146,0.088,0.081,0.105,0.014,0.072
2010-2019,0.014,0.034,0.319,0.17,0.143,0.067,0.073,0.095,0.009,0.077
2020-2029,0.024,0.024,0.409,0.126,0.181,0.047,0.063,0.039,0.016,0.071
Total,0.209,0.162,0.131,0.085,0.085,0.076,0.066,0.066,0.072,0.048
