,0,1,2,3,4
1920-1929,0.25,0.0,0.0,0.25,0.5
1930-1939,0.167,0.0,0.0,0.5,0.333
1940-1949,0.154,0.128,0.0,0.513,0.205
1950-1959,0.191,0.206,0.0,0.441,0.162
1960-1969,0.371,0.209,0.0,0.198,0.222
1970-1979,0.382,0.261,0.002,0.065,0.29
1980-1989,0.342,0.323,0.002,0.024,0.31
1990-1999,0.3,0.331,0.001,0.019,0.349
2000-2009,0.301,0.301,0.0,0.005,0.393
2010-2019,0.326,0.322,0.002,0.002,0.347
2020-2029,0.2,0.5,0.0,0.0,0.3
Total,0.271,0.235,0.001,0.183,0.31
