,0,1,2,3,4
1920-1929,,,,,
1930-1939,,,,,
1940-1949,,,,,
1950-1959,,,,,
1960-1969,0.406,0.141,0.016,0.141,0.297
1970-1979,0.321,0.282,0.003,0.072,0.321
1980-1989,0.359,0.299,0.001,0.041,0.3
1990-1999,0.333,0.288,0.002,0.013,0.364
2000-2009,0.311,0.305,0.001,0.005,0.378
2010-2019,0.312,0.272,0.0,0.004,0.412
2020-2029,0.333,0.111,0.0,0.0,0.556
Total,0.339,0.242,0.003,0.039,0.375
