0,1,2,3,4
västerbotten,västerbotten,vidare,vidare,västerbotten
minut,hatbrott,gjorde,bibliotek,försvinner
vidare,programmet,minut,tyskland,utskottet
programmet,ryssland,anita,minut,vidgat
försvinner,vidgat,makt,tolkas,tyskland
vidgat,berört,avvecklingen,västerbotten,prägla
fd,tradition,höstens,skapat,minut
extra,förändrats,mars,ljuset,programmet
berört,minut,bibliotek,förenade,avses
fördelningen,lämplig,berört,avses,bibliotek
tyskland,tolkas,försvinner,eventuellt,extra
förenklingar,ordinarie,ryssland,försvinner,ordinarie
säkra,tyskland,hatbrott,traditionell,påtryckningar
avses,stiftelsen,eventuellt,område,avskaffa
bibliotek,extra,tradition,makt,fördelningen
mars,riktiga,tillsatt,händelserna,gjorde
lyft,gjorde,kamrarna,programmet,avsevärt
riktiga,avses,högkvalitativa,berört,ung
retorik,område,förutom,mars,medie
meddelade,förenklingar,fd,uppgiften,trygga
