lemmas,0,1,2,3,4,5,6,7,8,9
mass,0.0,0.004,0.205,0.184,0.109,0.142,0.074,0.152,0.104,0.027
medi,0.286,0.264,0.01,0.025,0.092,0.056,0.099,0.013,0.057,0.097
