,0,1,2,3,4
1920-1929,,,,,
1930-1939,,,,,
1940-1949,,,,,
1950-1959,0.0,0.667,0.0,0.333,0.0
1960-1969,0.012,0.608,0.175,0.06,0.145
1970-1979,0.032,0.446,0.271,0.041,0.21
1980-1989,0.062,0.28,0.302,0.081,0.274
1990-1999,0.217,0.129,0.217,0.217,0.221
2000-2009,0.534,0.054,0.039,0.27,0.103
2010-2019,0.676,0.009,0.028,0.222,0.065
2020-2029,0.667,0.0,0.0,0.333,0.0
