,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,,,,,,,,,,
1960-1969,0.019,0.01,0.13,0.314,0.121,0.005,0.082,0.164,0.082,0.072
1970-1979,0.024,0.009,0.173,0.176,0.152,0.024,0.134,0.11,0.065,0.134
1980-1989,0.055,0.032,0.145,0.128,0.179,0.036,0.124,0.082,0.095,0.124
1990-1999,0.137,0.144,0.107,0.096,0.089,0.155,0.052,0.11,0.058,0.052
2000-2009,0.237,0.256,0.105,0.041,0.037,0.187,0.046,0.046,0.027,0.018
2010-2019,0.396,0.304,0.049,0.008,0.005,0.143,0.031,0.028,0.023,0.013
2020-2029,0.333,0.333,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0
Total,0.15,0.136,0.089,0.116,0.073,0.09,0.059,0.193,0.044,0.052
