,0,1,2,3,4,5,6,7,8,9,10,11,12
1920-1929,0.0,0.0,0.657,0.0,0.094,0.094,0.0,0.0,0.0,0.0,0.0,0.155,0.0
1930-1939,0.0,0.0,0.651,0.0,0.131,0.105,0.0,0.0,0.0,0.0,0.0,0.114,0.0
1940-1949,0.0,0.0,0.467,0.0,0.268,0.188,0.0,0.0,0.0,0.008,0.0,0.069,0.0
1950-1959,0.0,0.0,0.343,0.0,0.424,0.207,0.0,0.0,0.0,0.009,0.0,0.017,0.0
1960-1969,0.0,0.0,0.303,0.0,0.473,0.22,0.0,0.0,0.0,0.0,0.0,0.003,0.0
1970-1979,0.0,0.0,0.274,0.0,0.532,0.177,0.0,0.0,0.0,0.0,0.0,0.016,0.0
1980-1989,0.0,0.0,0.211,0.0,0.691,0.092,0.0,0.0,0.0,0.007,0.0,0.0,0.0
1990-1999,0.0,0.0,0.405,0.0,0.524,0.048,0.0,0.0,0.0,0.0,0.0,0.024,0.0
2000-2009,0.0,0.0,0.394,0.0,0.515,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-2019,0.0,0.0,0.438,0.0,0.344,0.156,0.0,0.0,0.0,0.0,0.0,0.062,0.0
2020-2029,,,,,,,,,,,,,
Total,0.0,0.0,0.414,0.0,0.4,0.138,0.0,0.0,0.0,0.002,0.0,0.046,0.0
