,0,1,2,3,4,5,6,7,8,9,10,11,12
1920-1929,0.0,0.0,0.765,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0
1930-1939,0.0,0.0,0.442,0.0,0.209,0.233,0.0,0.0,0.0,0.0,0.0,0.116,0.0
1940-1949,0.0,0.0,0.461,0.0,0.287,0.198,0.0,0.0,0.0,0.0,0.0,0.054,0.0
1950-1959,0.0,0.0,0.293,0.0,0.417,0.21,0.0,0.0,0.0,0.01,0.0,0.07,0.0
1960-1969,0.0,0.0,0.282,0.0,0.427,0.278,0.0,0.0,0.0,0.004,0.0,0.009,0.0
1970-1979,0.0,0.0,0.244,0.0,0.55,0.191,0.0,0.0,0.0,0.0,0.0,0.015,0.0
1980-1989,0.0,0.0,0.371,0.0,0.571,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-1999,0.0,0.0,0.6,0.0,0.3,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0
2000-2009,0.0,0.0,0.429,0.0,0.381,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-2019,0.0,0.0,0.429,0.0,0.5,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,
Total,0.0,0.0,0.432,0.0,0.376,0.148,0.0,0.0,0.0,0.006,0.0,0.038,0.0
