,0,1,2,3,4,5,6,7,8,9,10,11,12
1920-1929,0.0,0.0,0.562,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.188,0.0
1930-1939,0.0,0.0,0.61,0.0,0.176,0.114,0.0,0.0,0.0,0.002,0.0,0.098,0.0
1940-1949,0.0,0.0,0.533,0.002,0.258,0.171,0.0,0.0,0.0,0.004,0.0,0.033,0.0
1950-1959,0.0,0.0,0.331,0.0,0.381,0.224,0.0,0.0,0.0,0.01,0.0,0.054,0.0
1960-1969,0.0,0.0,0.31,0.0,0.434,0.245,0.0,0.0,0.0,0.0,0.0,0.01,0.0
1970-1979,0.0,0.0,0.363,0.0,0.436,0.179,0.0,0.0,0.0,0.0,0.0,0.022,0.0
1980-1989,0.0,0.0,0.288,0.0,0.619,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-1999,0.0,0.0,0.386,0.0,0.545,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-2009,0.0,0.0,0.318,0.0,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-2019,0.0,0.0,0.529,0.0,0.412,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,
Total,0.0,0.0,0.423,0.0,0.409,0.125,0.0,0.0,0.0,0.002,0.0,0.04,0.0
