,0,1,2,3,4,5,6,7,8,9,10,11,12
1920-1929,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,
1960-1969,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-1979,0.0,0.0,0.318,0.0,0.568,0.068,0.0,0.0,0.0,0.011,0.0,0.034,0.0
1980-1989,0.0,0.0,0.245,0.0,0.642,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-1999,0.0,0.0,0.483,0.0,0.397,0.069,0.0,0.0,0.0,0.0,0.0,0.052,0.0
2000-2009,0.0,0.0,0.333,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-2019,0.0,0.0,0.469,0.0,0.375,0.094,0.0,0.0,0.0,0.0,0.0,0.062,0.0
2020-2029,,,,,,,,,,,,,
Total,0.0,0.0,0.408,0.0,0.508,0.057,0.0,0.0,0.0,0.002,0.0,0.025,0.0
