,0,1,2,3,4,5,6,7,8,9
1920-1929,,,,,,,,,,
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,0.125,0.125,0.156,0.188,0.188,0.062,0.031,0.062,0.031,0.031
1960-1969,0.078,0.048,0.048,0.152,0.172,0.063,0.119,0.069,0.09,0.161
1970-1979,0.092,0.052,0.063,0.133,0.122,0.108,0.088,0.101,0.1,0.141
1980-1989,0.109,0.054,0.063,0.115,0.089,0.14,0.105,0.121,0.113,0.092
1990-1999,0.118,0.079,0.096,0.101,0.08,0.111,0.129,0.079,0.109,0.098
2000-2009,0.109,0.174,0.133,0.084,0.089,0.062,0.113,0.079,0.085,0.074
2010-2019,0.102,0.227,0.147,0.078,0.102,0.057,0.085,0.056,0.084,0.062
2020-2029,0.143,0.125,0.036,0.054,0.304,0.071,0.107,0.071,0.036,0.054
Total,0.109,0.111,0.093,0.113,0.143,0.085,0.097,0.08,0.081,0.089
