,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,96,31,22,28,47,25,64,64,13,28,12,21,27,84,77,23,21,34,17,47
1930-1939,78,35,21,17,35,19,112,63,18,19,28,23,32,72,97,37,24,31,25,49
1940-1949,276,120,71,110,44,94,155,134,108,78,78,85,108,112,253,105,147,99,117,108
1950-1959,559,276,153,321,302,234,470,405,314,201,209,260,256,440,459,355,249,266,222,297
1960-1969,841,711,468,803,926,738,722,925,803,713,557,631,586,1346,853,846,711,887,753,659
1970-1979,1034,1483,1387,1431,2189,1503,1174,1631,1508,1884,1312,1430,1564,1801,1160,1591,1346,1736,1660,1364
1980-1989,1455,2532,2854,2259,3262,2730,1743,1842,2710,2870,2489,2829,3026,2261,1912,2235,2297,2486,2905,1860
1990-1999,1742,3966,4497,3318,4794,4807,1993,3089,4068,4403,4393,4298,4510,3203,2513,3449,3812,3573,3988,2980
2000-2009,1521,3745,7771,3152,4897,5103,1713,2283,4188,4489,5207,4688,4187,2659,2370,3798,4204,3514,3774,3227
2010-2019,938,2395,6094,2109,3095,3263,1308,1224,2671,3217,3775,2824,2864,1769,1476,2944,2767,2474,2533,2125
2020-2029,10,27,66,23,27,33,18,7,28,74,43,13,27,9,13,27,27,38,22,11
Total,8550,15321,23404,13571,19618,18549,9472,11667,16429,17976,18103,17102,17187,13756,11183,15410,15605,15138,16016,12727
