,0,1,2,3,4,5,6,7,8,9
1920-1929,7,1,2,0,3,0,0,5,6,7
1930-1939,8,0,32,3,6,4,1,6,0,4
1940-1949,0,0,0,0,0,0,0,0,0,0
1950-1959,1,4,12,3,2,12,3,1,39,29
1960-1969,655,417,1177,866,737,876,426,803,2120,782
1970-1979,1274,1001,1630,1566,1966,1463,704,1348,2431,1869
1980-1989,1716,1265,1679,1765,1742,1645,1040,1454,1498,2057
1990-1999,1591,1410,1847,1224,1098,1692,1530,1848,1325,1734
2000-2009,932,1357,1085,844,591,939,1667,1982,578,1023
2010-2019,1067,2090,902,1013,686,797,1550,1720,509,1084
2020-2029,7,37,17,5,15,7,66,38,7,30
Total,7258,7582,8383,7289,6846,7435,6987,9205,8513,8619
