,0,1,2,3,4,5,6,7,8,9
1920-1929,8,2,21,0,0,0,0,0,1,0
1930-1939,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0
1960-1969,485,399,1177,623,588,699,334,490,1989,819
1970-1979,1101,690,1468,1417,1332,1498,613,1209,1510,1493
1980-1989,1935,1032,1806,1742,2266,2202,1117,1766,1613,1792
1990-1999,1068,953,1125,947,1018,1051,1071,1567,742,1150
2000-2009,706,1062,740,739,446,785,955,1373,451,827
2010-2019,1093,2439,1142,1048,724,1201,3142,1873,687,969
2020-2029,21,66,29,18,12,25,84,105,46,41
Total,6417,6643,7508,6534,6386,7461,7316,8383,7039,7091
