,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1930-1939,0,73,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1
1940-1949,0,174,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1950-1959,0,144,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1
1960-1969,0,191,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
1970-1979,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-1989,0,93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1990-1999,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2009,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2019,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,891,0,0,0,0,0,1,1,5,1,1,0,0,1,2,1,1,0,4
