,0,1,2,3,4
1920-1929,0.0,1.0,0.0,0.0,0.0
1930-1939,,,,,
1940-1949,,,,,
1950-1959,0.0,1.0,0.0,0.0,0.0
1960-1969,0.51,0.078,0.186,0.0,0.225
1970-1979,0.304,0.098,0.29,0.027,0.281
1980-1989,0.239,0.091,0.34,0.05,0.28
1990-1999,0.204,0.227,0.144,0.243,0.182
2000-2009,0.071,0.286,0.143,0.468,0.032
2010-2019,0.02,0.138,0.092,0.717,0.033
2020-2029,0.0,0.0,0.75,0.0,0.25
Total,0.15,0.324,0.216,0.167,0.143
