0,1,2,3,4
sociala,massmedium,beteenden,dagarna,m
trossamfund,föremål,människors,förekommit,ex
internet,medium,myndigheten,framkommit,opinionen
facebook,fostran,självständiga,senaste,t
tryckta,medial,ang,refererats,möter
utgiftsområde,massmedial,civila,presenterats,radio
alternativa,uppmärksamhet,lättläst,tillfällen,pressen
ordet,tycks,oberoende,enligt,television
teknik,rönt,tillgänglighet,rapporterats,folkrörelser
nätet,bevakning,mänskliga,framgått,opinionsbildande
datamaskiner,filmen,funktioner,uppgifter,utredningar
twitter,intresse,tillgängliga,veckorna,o
bloggar,genomslagskraft,interpellation,redovisat,huvud
sex,uppmärksamheten,universitet,arbetsmarknadsministern,press
konsumerar,massmedialt,domstolar,veckan,sysslar
digitala,vore,förutsättning,sommaren,myndigheter
typer,ägnar,stärka,frågat,kampanj
elektroniska,tryck,stödja,statsrådet,tv
traditionella,rapportering,rättigheter,cirkulerat,taget
hon,viktigare,val,månaderna,informationer
