,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
1930-1939,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-1969,0.007,0.027,0.007,0.014,0.0,0.054,0.014,0.136,0.014,0.184,0.0,0.224,0.068,0.027,0.054,0.014,0.014,0.095,0.007,0.041
1970-1979,0.0,0.019,0.0,0.009,0.019,0.028,0.037,0.102,0.019,0.065,0.009,0.231,0.028,0.12,0.046,0.019,0.074,0.102,0.009,0.065
1980-1989,0.0,0.025,0.008,0.008,0.025,0.042,0.081,0.072,0.03,0.081,0.017,0.114,0.055,0.195,0.059,0.034,0.051,0.059,0.008,0.034
1990-1999,0.002,0.033,0.007,0.026,0.01,0.049,0.146,0.042,0.031,0.069,0.016,0.052,0.062,0.146,0.042,0.019,0.144,0.057,0.01,0.038
2000-2009,0.0,0.022,0.003,0.058,0.001,0.063,0.215,0.003,0.003,0.025,0.027,0.022,0.067,0.191,0.03,0.01,0.202,0.01,0.004,0.045
2010-2019,0.002,0.03,0.002,0.031,0.0,0.049,0.244,0.002,0.01,0.041,0.023,0.018,0.082,0.133,0.024,0.003,0.264,0.01,0.007,0.026
2020-2029,0.0,0.031,0.0,0.094,0.0,0.0,0.312,0.031,0.0,0.0,0.094,0.0,0.062,0.031,0.062,0.0,0.219,0.031,0.0,0.031
Total,0.001,0.019,0.003,0.049,0.006,0.079,0.145,0.064,0.086,0.046,0.039,0.106,0.042,0.084,0.032,0.01,0.097,0.036,0.005,0.053
