,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,7,6,18,8,3,3,4,18,6,13,4,3,6,2,6,6,6,8,14,8
1930-1939,7,7,26,2,6,4,4,2,1,16,3,8,5,11,7,3,7,23,6,13
1940-1949,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,3,0,3
1950-1959,9,7,13,14,6,6,7,4,5,13,9,5,5,6,2,5,7,12,8,17
1960-1969,771,874,1239,1815,544,537,992,924,919,1000,701,1344,842,746,1212,828,828,1132,867,787
1970-1979,2002,1556,2105,2402,888,1043,1829,2172,1751,1823,1249,1803,1761,1933,1788,2176,2309,1692,1548,1496
1980-1989,3071,2199,2640,2363,1429,1493,2427,2604,2499,2770,2123,2132,2439,2647,2303,3328,3607,2302,2495,2350
1990-1999,1934,2056,2048,1666,1825,1578,1918,1887,2011,2403,1943,1589,1741,2092,1741,1955,2034,1839,2268,2040
2000-2009,1419,1961,1456,1151,2537,1968,1408,1355,1587,1839,2187,1423,1440,1790,1420,1390,1116,1656,2088,1924
2010-2019,1727,2435,1711,1417,4733,4480,1941,1653,1911,2193,2491,1611,1803,1857,2322,1808,1377,2071,2422,2196
2020-2029,49,55,47,38,143,142,50,41,56,74,48,45,49,66,50,44,45,56,48,60
Total,10996,11157,11303,10876,12114,11254,10580,10660,10746,12144,10762,9963,10092,11150,10851,11543,11336,10794,11764,10894
