lemmas,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
mass,48,691,644,765,666,32,723,3,626,406,436,424,21,117,24,0,286,66,29,9
medi,1679,489,230,37,64,693,0,719,1,129,76,85,420,275,367,307,4,202,172,64
