,0,1,2,3,4,5,6,7,8,9
1920-1929,0.04,0.045,0.042,0.074,0.128,0.028,0.068,0.343,0.177,0.054
1930-1939,0.046,0.049,0.046,0.068,0.133,0.028,0.071,0.279,0.223,0.056
1940-1949,0.059,0.052,0.058,0.076,0.124,0.032,0.071,0.246,0.211,0.071
1950-1959,0.076,0.074,0.057,0.081,0.141,0.034,0.092,0.175,0.181,0.088
1960-1969,0.113,0.117,0.08,0.083,0.122,0.051,0.095,0.117,0.129,0.094
1970-1979,0.149,0.119,0.108,0.087,0.104,0.065,0.105,0.072,0.086,0.107
1980-1989,0.137,0.124,0.114,0.099,0.08,0.088,0.12,0.053,0.073,0.113
1990-1999,0.102,0.106,0.109,0.099,0.084,0.126,0.16,0.038,0.053,0.122
2000-2009,0.073,0.092,0.126,0.097,0.058,0.199,0.174,0.03,0.044,0.106
2010-2019,0.07,0.068,0.127,0.099,0.048,0.257,0.158,0.03,0.042,0.101
2020-2029,0.057,0.042,0.147,0.078,0.053,0.329,0.146,0.029,0.042,0.076
Total,0.094,0.091,0.091,0.087,0.1,0.093,0.114,0.121,0.114,0.095
