0,1,2,3,4
både,ge,ge,svenska,svenska
ge,år,år,fråga,ge
tror,fråga,fråga,tror,år
behövs,emellertid,regeringen,bör,arbete
se,frågan,ytterligare,hela,regeringen
tycker,lämna,tror,sätt,bör
sätt,utskottet,frågan,sverige,samt
människor,utskottets,tycker,håll,frågor
nya,kammaren,utskottet,herr,ökad
naturligtvis,talman,frågor,land,nya
sverige,nämligen,sätt,ganska,sverige
väldigt,herr,vet,område,åtgärder
möjlighet,förslag,fru,fall,allmänheten
behöver,beträffande,talman,verksamhet,riksdagen
barn,anledning,herr,landet,bl
ger,riksdagen,gång,politiska,a
möjligheter,vissa,riksdagen,folket,utbildning
kunskap,fall,fall,såsom,dels
exempel,statsrådet,svar,politisk,verksamhet
handlar,endast,statsrådet,folk,insatser
