lemmas,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
mass,0.008,0.115,0.107,0.127,0.111,0.005,0.12,0.0,0.104,0.067,0.072,0.07,0.003,0.019,0.004,0.0,0.048,0.011,0.005,0.001
medi,0.279,0.081,0.038,0.006,0.011,0.115,0.0,0.12,0.0,0.021,0.013,0.014,0.07,0.046,0.061,0.051,0.001,0.034,0.029,0.011
