,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0
1930-1939,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0
1940-1949,,,,,,,,,,
1950-1959,0.0,0.0,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.0
1960-1969,0.061,0.02,0.02,0.367,0.041,0.027,0.327,0.048,0.0,0.088
1970-1979,0.093,0.065,0.13,0.194,0.037,0.0,0.306,0.056,0.009,0.111
1980-1989,0.093,0.085,0.229,0.191,0.076,0.021,0.195,0.025,0.021,0.064
1990-1999,0.121,0.205,0.215,0.099,0.106,0.024,0.109,0.031,0.047,0.043
2000-2009,0.112,0.302,0.285,0.008,0.122,0.001,0.075,0.003,0.088,0.003
2010-2019,0.093,0.347,0.324,0.007,0.095,0.003,0.053,0.001,0.075,0.003
2020-2029,0.062,0.219,0.156,0.031,0.344,0.0,0.031,0.0,0.125,0.031
Total,0.064,0.124,0.176,0.185,0.082,0.008,0.225,0.016,0.086,0.034
