,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75
1930-1939,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0
1940-1949,,,,,,,,,,
1950-1959,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4
1960-1969,0.02,0.02,0.027,0.088,0.041,0.0,0.061,0.048,0.367,0.327
1970-1979,0.13,0.065,0.0,0.111,0.037,0.009,0.093,0.056,0.194,0.306
1980-1989,0.229,0.085,0.021,0.064,0.076,0.021,0.093,0.025,0.191,0.195
1990-1999,0.215,0.205,0.024,0.043,0.106,0.047,0.121,0.031,0.099,0.109
2000-2009,0.285,0.302,0.001,0.003,0.122,0.088,0.112,0.003,0.008,0.075
2010-2019,0.324,0.347,0.003,0.003,0.095,0.075,0.093,0.001,0.007,0.053
2020-2029,0.156,0.219,0.0,0.031,0.344,0.125,0.062,0.0,0.031,0.031
Total,0.258,0.254,0.009,0.025,0.1,0.063,0.101,0.014,0.069,0.107
