0,1,2,3,4
rönt,sättas,presenterats,ex,ang
mediets,alternativa,dagarna,m,fostran
föremål,twitter,redovisat,t,beteenden
dagordningen,facebook,sistone,anställda,utgiftsområde
boken,bloggar,förekommit,television,funktioner
medial,nätet,åren,kampanj,lättläst
massmedium,konsumerar,refererats,radio,tillgänglighet
rapportering,sociala,framgått,möter,myndigheten
genomslagskraft,teknik,framkommit,opinionsbildande,trossamfund
uppmärksamheten,datamaskiner,sommaren,lärare,tillgängliga
massmedial,it,månaderna,folkrörelser,fritid
viktigare,grundlagsskydd,rapporterats,förmedlas,mänskliga
liten,ordet,hösten,utredningar,människors
tryck,internet,noterat,o,självständiga
önskemål,digitala,redovisats,informationer,oberoende
synpunkt,plattformar,diskuterats,skolor,universitet
intresse,sex,arbetsmarknadsministern,pressen,domstolar
medium,tryckta,beskrivits,förmedlar,stödja
uppmärksamhet,traditionella,kommande,upplysning,förutsättning
bevakning,elektroniska,frågat,opinionen,principer
