0,1,2,3,4
ganska,grad,ganska,ganska,grad
journalisterna,konstatera,grad,grad,bidragit
skapa,också,handlar,engagemang,häromdagen
oftast,mm,också,också,oftast
debattörer,insatser,önskemål,huvud,journalisterna
också,önskemål,lite,bevakning,inskränka
ens,bidragit,bevakning,insatser,stå
universitet,bevakning,förhållande,sysslar,ganska
någon,frågan,kommunerna,upprepade,universitet
kommer,negativa,video,tillgång,redovisas
öppna,således,av,ja,k
hög,grundläggande,tillfälle,möjligheterna,arbete
ex,ex,kräver,aldrig,ges
grad,upprepade,insatser,önskemål,ökade
ska,medverka,ledamöter,makten,personal
några,engagemang,låta,på,ledamöter
bevakning,oftast,ske,vidare,statens
statsrådet,s,intervjuer,journalisterna,hon
sig,framkommit,främst,utnyttjas,några
insatser,rapporten,blivit,uppmärksammades,bevakning
