,0,1,2,3,4,5,6,7,8,9
1920-1929,4728,3766,12684,23925,15264,4884,5356,5522,3571,12829
1930-1939,5709,4613,18187,21119,15747,5462,5677,6388,3958,13306
1940-1949,7481,5930,20879,23372,16764,6838,7380,8718,5282,15367
1950-1959,9114,5810,16857,17021,15332,7704,7551,9880,5570,15414
1960-1969,22372,12713,20964,20914,21347,15096,14607,16010,13522,21424
1970-1979,31046,21504,18976,18359,21905,22664,22259,22538,20987,20869
1980-1989,27064,23638,15967,13193,16705,24520,22810,22390,21941,17377
1990-1999,22087,28850,12261,9665,16769,29336,23932,23790,25439,16448
2000-2009,20834,38013,11437,8965,13791,33041,22552,25351,32273,16820
2010-2019,13453,30701,9327,6498,8593,23355,19073,19258,29480,11697
2020-2029,155,503,122,98,136,274,281,235,568,108
Total,164043,176041,157661,163129,162353,173174,151478,160080,162591,161659
