,0,1,2,3,4,5,6,7,8,9
1920-1929,0.051,0.041,0.137,0.259,0.165,0.053,0.058,0.06,0.039,0.139
1930-1939,0.057,0.046,0.182,0.211,0.157,0.055,0.057,0.064,0.04,0.133
1940-1949,0.063,0.05,0.177,0.198,0.142,0.058,0.063,0.074,0.045,0.13
1950-1959,0.083,0.053,0.153,0.154,0.139,0.07,0.068,0.09,0.051,0.14
1960-1969,0.125,0.071,0.117,0.117,0.119,0.084,0.082,0.089,0.076,0.12
1970-1979,0.14,0.097,0.086,0.083,0.099,0.103,0.101,0.102,0.095,0.094
1980-1989,0.132,0.115,0.078,0.064,0.081,0.119,0.111,0.109,0.107,0.085
1990-1999,0.106,0.138,0.059,0.046,0.08,0.141,0.115,0.114,0.122,0.079
2000-2009,0.093,0.17,0.051,0.04,0.062,0.148,0.101,0.114,0.145,0.075
2010-2019,0.078,0.179,0.054,0.038,0.05,0.136,0.111,0.112,0.172,0.068
2020-2029,0.062,0.203,0.049,0.04,0.055,0.11,0.113,0.095,0.229,0.044
Total,0.101,0.108,0.097,0.1,0.099,0.106,0.093,0.098,0.1,0.099
