0,1,2,3,4
all,fall,anledning,bedriva,a
behöver,fru,emellertid,borgerliga,allmänheten
behövs,fråga,endast,bör,arbete
både,frågan,fall,driva,bl
bör,frågor,fråga,fall,bör
ge,ge,frågan,fråga,forskning
ger,herr,ge,ge,frågor
ges,regeringen,herr,herr,ge
handlar,riksdagen,kammaren,land,ges
kunskap,statsrådet,lämna,landet,nya
människor,svenska,lämnade,nämligen,regeringen
möjlighet,sätt,lämnat,politisk,riksdagen
möjligheter,talman,lämnats,politiska,samt
naturligtvis,tror,regeringen,sprida,sprida
se,tycker,riksdagen,svenska,svenska
sverige,utskottet,statsrådet,sverige,utbildning
sätt,vet,talman,sätt,utskottet
tillgång,väldigt,utskottet,såsom,verksamhet
tror,ytterligare,vissa,tror,åtgärder
tycker,år,ytterligare,år,ökad
