,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1920-1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-1969,0.108,0.11,0.08,0.0,0.0,0.0,0.072,0.043,0.065,0.127,0.0,0.0,0.0,0.004,0.0,0.115,0.053,0.0,0.027,0.0,0.022,0.041,0.02,0.0,0.0,0.008,0.033,0.0,0.0,0.002,0.029,0.0,0.0,0.02,0.0,0.02,0.0
1970-1979,0.103,0.125,0.09,0.0,0.0,0.0,0.066,0.057,0.056,0.09,0.0,0.0,0.007,0.009,0.0,0.04,0.056,0.004,0.045,0.005,0.029,0.041,0.054,0.001,0.0,0.002,0.027,0.0,0.0,0.005,0.039,0.0,0.0,0.027,0.0,0.023,0.0
1980-1989,0.102,0.096,0.086,0.0,0.017,0.0,0.076,0.073,0.085,0.057,0.0,0.0,0.007,0.012,0.0,0.027,0.035,0.005,0.055,0.016,0.046,0.043,0.038,0.003,0.002,0.003,0.022,0.0,0.0,0.002,0.033,0.0,0.011,0.026,0.0,0.023,0.001
1990-1999,0.079,0.089,0.091,0.0,0.023,0.0,0.079,0.042,0.051,0.037,0.0,0.0,0.016,0.054,0.0,0.03,0.04,0.019,0.037,0.056,0.023,0.014,0.049,0.005,0.0,0.009,0.026,0.0,0.0,0.019,0.035,0.0,0.026,0.021,0.0,0.03,0.0
2000-2009,0.0,0.0,0.0,0.0,0.051,0.0,0.081,0.01,0.04,0.02,0.0,0.0,0.131,0.212,0.0,0.02,0.0,0.03,0.01,0.162,0.0,0.0,0.061,0.01,0.0,0.0,0.01,0.0,0.0,0.091,0.0,0.0,0.04,0.0,0.0,0.02,0.0
2010-2019,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.048,0.238,0.0,0.048,0.0,0.19,0.0,0.048,0.0,0.0,0.048,0.0,0.0,0.048,0.048,0.0,0.0,0.095,0.0,0.0,0.143,0.0,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0.056,0.096,0.049,0.0,0.013,0.0,0.06,0.068,0.043,0.083,0.0,0.0,0.03,0.076,0.0,0.04,0.026,0.035,0.025,0.041,0.017,0.02,0.074,0.003,0.0,0.01,0.024,0.0,0.0,0.03,0.019,0.0,0.031,0.013,0.0,0.017,0.0
