,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1920-1929,0.486,0.0,0.0,0.0,0.001,0.052,0.0,0.0,0.0,0.074,0.066,0.11,0.0,0.0,0.0,0.011,0.0,0.043,0.0,0.003,0.037,0.0,0.116,0.0
1930-1939,0.436,0.0,0.0,0.0,0.001,0.062,0.0,0.0,0.0,0.097,0.084,0.109,0.0,0.0,0.0,0.011,0.0,0.051,0.0,0.004,0.043,0.0,0.102,0.0
1940-1949,0.445,0.0,0.0,0.0,0.001,0.072,0.0,0.0,0.0,0.094,0.104,0.062,0.0,0.0,0.0,0.012,0.0,0.066,0.0,0.007,0.055,0.0,0.082,0.0
1950-1959,0.362,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.121,0.08,0.063,0.0,0.0,0.0,0.028,0.0,0.083,0.0,0.005,0.078,0.0,0.07,0.0
1960-1969,0.279,0.0,0.0,0.0,0.001,0.109,0.0,0.0,0.0,0.126,0.094,0.052,0.0,0.0,0.0,0.074,0.0,0.101,0.0,0.008,0.091,0.0,0.066,0.0
1970-1979,0.262,0.0,0.0,0.0,0.001,0.082,0.0,0.0,0.0,0.128,0.131,0.046,0.0,0.0,0.0,0.076,0.0,0.112,0.0,0.007,0.101,0.0,0.053,0.0
1980-1989,0.23,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.098,0.168,0.036,0.0,0.0,0.0,0.13,0.0,0.121,0.0,0.006,0.096,0.0,0.05,0.0
1990-1999,0.178,0.0,0.0,0.0,0.002,0.064,0.0,0.0,0.0,0.092,0.142,0.039,0.0,0.0,0.0,0.176,0.0,0.136,0.0,0.005,0.129,0.0,0.039,0.0
2000-2009,0.191,0.0,0.0,0.0,0.002,0.064,0.0,0.0,0.0,0.102,0.122,0.055,0.0,0.0,0.0,0.151,0.0,0.124,0.0,0.018,0.126,0.0,0.044,0.0
2010-2019,0.25,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.094,0.183,0.067,0.0,0.0,0.0,0.1,0.0,0.078,0.0,0.006,0.083,0.0,0.05,0.0
2020-2029,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.283,0.0,0.0,0.0,0.001,0.093,0.0,0.0,0.0,0.093,0.129,0.058,0.0,0.0,0.0,0.07,0.0,0.129,0.0,0.006,0.076,0.0,0.061,0.0
