,0,1,2,3,4,5,6,7,8,9
1920-1929,49,6,56,13,35,29,6,31,44,28
1930-1939,50,5,80,27,29,37,9,24,55,22
1940-1949,5,1,0,4,0,0,0,0,20,0
1950-1959,38,19,70,14,11,34,11,20,74,34
1960-1969,2350,1920,5216,3080,3286,3703,1785,2982,9717,3525
1970-1979,6585,4124,7923,7786,8667,7675,3251,6075,9563,8767
1980-1989,10691,6558,10087,11267,12990,11007,5644,9384,8712,11400
1990-1999,7270,7227,8272,7151,7021,8235,7755,10029,5751,7840
2000-2009,5492,8614,6055,5693,3829,5492,10030,10796,3767,6084
2010-2019,7809,15431,6888,7383,4599,6755,16722,12167,3645,6488
2020-2029,181,329,239,173,159,239,451,321,108,187
Total,40520,44234,44886,42591,40626,43206,45664,51829,41456,44375
