lemmas,0,1,2,3,4,5,6,7,8,9
info,0.023,0.0,0.208,0.164,0.154,0.097,0.134,0.134,0.005,0.081
prop,0.0,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
uppl,0.564,0.09,0.0,0.001,0.0,0.106,0.001,0.001,0.223,0.014
