lemmas,0,1,2,3,4,5,6,7,8,9
info,1153,13,10391,8216,7678,4868,6694,6694,252,4024
prop,2,9482,0,1,0,1,1,1,5,2
uppl,13056,2088,3,13,11,2467,29,12,5157,330
