,0,1,2,3,4,5,6,7,8,9
1920-1929,0.001,0.2,0.0,0.263,0.005,0.0,0.0,0.471,0.057,0.001
1930-1939,0.001,0.217,0.0,0.27,0.011,0.0,0.0,0.444,0.056,0.0
1940-1949,0.0,0.195,0.001,0.253,0.003,0.0,0.0,0.487,0.06,0.0
1950-1959,0.001,0.244,0.0,0.277,0.007,0.001,0.0,0.384,0.085,0.0
1960-1969,0.0,0.228,0.001,0.276,0.006,0.0,0.0,0.368,0.121,0.0
1970-1979,0.001,0.205,0.001,0.289,0.004,0.0,0.0,0.376,0.123,0.001
1980-1989,0.004,0.198,0.001,0.272,0.003,0.0,0.0,0.381,0.141,0.0
1990-1999,0.0,0.221,0.002,0.324,0.012,0.002,0.0,0.295,0.144,0.0
2000-2009,0.0,0.301,0.0,0.253,0.007,0.0,0.0,0.327,0.112,0.0
2010-2019,0.008,0.205,0.0,0.339,0.0,0.0,0.0,0.331,0.118,0.0
2020-2029,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.333,0.0,0.0
Total,0.002,0.201,0.001,0.317,0.005,0.0,0.0,0.382,0.092,0.0
