lemmas,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
info,0.227,0.009,0.0,0.003,0.009,0.088,0.088,0.077,0.0,0.072,0.057,0.069,0.055,0.023,0.057,0.054,0.044,0.034,0.032,0.0
prop,0.0,0.0,0.519,0.0,0.036,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.006
uppl,0.0,0.357,0.046,0.24,0.173,0.0,0.0,0.011,0.0,0.007,0.039,0.001,0.015,0.067,0.005,0.005,0.0,0.0,0.0,0.034
