,0,1,2,3,4
1920-1929,0.023,0.203,0.203,0.492,0.078
1930-1939,0.034,0.368,0.256,0.299,0.043
1940-1949,,,,,
1950-1959,0.086,0.234,0.102,0.511,0.068
1960-1969,0.062,0.153,0.159,0.468,0.159
1970-1979,0.074,0.181,0.237,0.299,0.209
1980-1989,0.096,0.209,0.268,0.202,0.225
1990-1999,0.176,0.284,0.2,0.154,0.186
2000-2009,0.287,0.314,0.122,0.108,0.169
2010-2019,0.395,0.244,0.116,0.08,0.165
2020-2029,0.33,0.282,0.143,0.043,0.202
Total,0.156,0.247,0.181,0.265,0.15
