,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1920-1929,0.505,0.0,0.0,0.0,0.002,0.042,0.0,0.0,0.0,0.093,0.065,0.102,0.0,0.0,0.0,0.014,0.0,0.039,0.0,0.003,0.039,0.0,0.099,0.0
1930-1939,0.427,0.0,0.0,0.0,0.001,0.058,0.0,0.0,0.0,0.11,0.091,0.098,0.0,0.0,0.0,0.009,0.0,0.046,0.0,0.003,0.049,0.0,0.109,0.0
1940-1949,0.436,0.0,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.117,0.104,0.047,0.0,0.0,0.0,0.013,0.0,0.071,0.0,0.002,0.048,0.0,0.074,0.0
1950-1959,0.354,0.0,0.0,0.0,0.002,0.112,0.0,0.0,0.0,0.127,0.075,0.054,0.0,0.0,0.0,0.021,0.0,0.09,0.0,0.006,0.082,0.0,0.077,0.0
1960-1969,0.318,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.0,0.108,0.089,0.044,0.0,0.0,0.0,0.061,0.0,0.106,0.0,0.009,0.091,0.0,0.061,0.0
1970-1979,0.25,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.148,0.157,0.033,0.0,0.0,0.0,0.063,0.0,0.148,0.0,0.009,0.078,0.0,0.06,0.0
1980-1989,0.25,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.106,0.202,0.032,0.0,0.0,0.0,0.144,0.0,0.101,0.0,0.0,0.085,0.0,0.032,0.0
1990-1999,0.126,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.042,0.147,0.032,0.0,0.0,0.0,0.253,0.0,0.211,0.0,0.0,0.074,0.0,0.032,0.0
2000-2009,0.085,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.191,0.191,0.021,0.0,0.0,0.0,0.149,0.0,0.149,0.0,0.043,0.106,0.0,0.043,0.0
2010-2019,0.333,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.067,0.2,0.067,0.0,0.0,0.0,0.133,0.0,0.033,0.0,0.033,0.0,0.0,0.1,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,,,,,
Total,0.308,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.111,0.132,0.053,0.0,0.0,0.0,0.086,0.0,0.099,0.0,0.011,0.065,0.0,0.069,0.0
