0,1,2,3,4
klarlägganden,botkyrka,marknadsföringen,bosnien,säkerställas
öre,mediehus,veckopressen,abbas,skolbibliotek
olle,talesperson,nedbrytande,balkan,fiendebilder
industridepartementet,olaglig,tukt,amnesty,medieutbud
länsarbetsnämnden,grann,våldsinslag,fojo,tidningsbranschen
vårdnadsbidrag,sahlin,framhålles,filippinerna,mtm
procordia,arbetsmiljöverket,sårande,erdoan,kru
knutson,carina,sedlighet,turkisk,driftsstödet
kanslihuset,sundström,handlingsmönster,mördades,lättlästa
ncb,tina,upplysningsverksamheten,trupper,kunskapscenter
romanus,koll,ang,vitryska,lättläst
handläggningen,du,filmens,lydiga,medievanor
sjöss,silfverstrand,beteenden,krim,mediestödet
folkpartiregeringen,skuld,radiotv,arresteringar,mediepolitikens
industriministerns,oseriösa,datamaskiner,iraks,medieutbudet
utfrågningarna,jämställdhetsministern,kvinnoidrotten,fängslats,mp
stockholmsregionen,etisk,fostran,regim,läsförmåga
promemoria,mona,ungdomsbrottsligheten,sudan,privatanställda
bergdahl,rosengren,idrottens,turkiets,skolbiblioteken
kansli,tryggt,mediets,kuba,informationskunnighet
