,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,3,8,1,1,21,15,0,2,1,0,1,28,2,1,3,2,9,29,1
1930-1939,0,7,1,14,0,28,13,0,0,0,8,1,4,20,1,0,4,7,6,3
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,1,7,24,27,11,87,9,0,2,2,4,15,56,15,5,12,7,13,25,3
1960-1969,767,2357,1242,1634,1783,3730,1077,148,343,178,252,1005,3566,2072,518,682,326,1327,879,654
1970-1979,721,2011,1455,3709,4222,6870,2826,313,671,296,765,3014,4746,3775,761,1790,614,2606,2758,1415
1980-1989,721,936,1962,4083,4808,6721,3353,458,1138,466,1490,2862,3841,4933,964,1886,734,2680,3452,1866
1990-1999,623,520,1543,2813,2713,5432,1590,747,1313,478,1092,1955,2574,5515,1396,959,698,2060,2005,1292
2000-2009,362,399,1120,1765,1885,3978,716,900,1051,438,894,1113,1895,5739,2190,921,1068,1569,1454,1232
2010-2019,457,343,1184,1660,2541,4147,847,2094,645,1198,890,893,2020,6739,3311,1074,2414,2225,1590,1257
2020-2029,23,7,29,73,107,107,32,97,20,5,11,19,86,209,104,22,31,52,77,60
Total,3675,6590,8568,15779,18071,31121,10478,4757,5185,3062,5406,10878,18816,29019,9251,7349,5898,12548,12275,7783
