lemmas,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
info,0.009,0.098,0.0,0.071,0.0,0.0,0.054,0.054,0.048,0.002,0.0,0.0,0.037,0.036,0.036,0.015,0.034,0.002,0.033,0.03,0.005,0.032,0.0,0.03,0.03,0.029,0.028,0.027,0.027,0.006,0.025,0.012,0.024,0.023,0.022,0.022,0.017,0.014,0.02,0.017,0.003,0.012,0.007,0.005,0.001,0.0,0.0,0.001,0.003,0.0
prop,0.0,0.0,0.421,0.0,0.34,0.161,0.0,0.0,0.0,0.003,0.0,0.047,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.003,0.012,0.0,0.0,0.0
uppl,0.311,0.0,0.0,0.0,0.001,0.066,0.0,0.0,0.0,0.087,0.082,0.061,0.0,0.0,0.0,0.038,0.0,0.066,0.0,0.005,0.059,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.027,0.0,0.0,0.0,0.0,0.01,0.014,0.0,0.0,0.018,0.0,0.003,0.006,0.013,0.01,0.005,0.007,0.0,0.001
