,0,1,2,3,4,5,6,7,8,9
1920-1929,22,1,6,15,8,7,11,18,2,16
1930-1939,61,0,5,14,6,3,10,23,3,26
1940-1949,233,4,56,76,74,26,57,137,26,79
1950-1959,199,2,48,63,59,33,96,197,34,67
1960-1969,326,1,354,412,478,445,643,652,65,306
1970-1979,183,1,941,1064,1289,969,1647,1168,62,640
1980-1989,77,0,1292,1319,1379,988,1423,1242,24,683
1990-1999,29,2,1930,1688,1475,996,1255,1251,23,741
2000-2009,20,2,2939,2078,1645,866,908,1176,7,797
2010-2019,3,0,2768,1471,1242,530,636,825,6,660
2020-2029,0,0,52,16,23,5,8,5,0,9
Total,1153,13,10391,8216,7678,4868,6694,6694,252,4024
