,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,0.094,0.17,0.0,0.019,0.038,0.009,0.057,0.085,0.0,0.104,0.057,0.038,0.028,0.019,0.038,0.123,0.019,0.094,0.009
1930-1939,0.046,0.185,0.0,0.066,0.139,0.02,0.02,0.053,0.0,0.139,0.113,0.026,0.007,0.013,0.007,0.053,0.007,0.099,0.007
1940-1949,0.081,0.154,0.0,0.038,0.074,0.025,0.099,0.077,0.0,0.132,0.073,0.035,0.026,0.004,0.021,0.053,0.009,0.094,0.007
1950-1959,0.064,0.103,0.0,0.045,0.09,0.025,0.076,0.11,0.0,0.174,0.078,0.024,0.015,0.015,0.019,0.051,0.006,0.099,0.005
1960-1969,0.11,0.032,0.0,0.015,0.032,0.035,0.09,0.162,0.0,0.107,0.087,0.065,0.049,0.035,0.021,0.055,0.021,0.053,0.032
1970-1979,0.143,0.009,0.0,0.003,0.013,0.044,0.109,0.153,0.0,0.089,0.082,0.072,0.058,0.037,0.04,0.049,0.028,0.037,0.035
1980-1989,0.194,0.002,0.0,0.001,0.005,0.064,0.112,0.101,0.0,0.082,0.06,0.076,0.062,0.034,0.05,0.054,0.044,0.031,0.028
1990-1999,0.25,0.001,0.0,0.0,0.002,0.083,0.101,0.05,0.0,0.067,0.057,0.072,0.076,0.021,0.054,0.052,0.041,0.032,0.039
2000-2009,0.311,0.0,0.0,0.0,0.001,0.127,0.061,0.033,0.0,0.052,0.039,0.062,0.05,0.015,0.076,0.053,0.059,0.028,0.035
2010-2019,0.294,0.0,0.0,0.0,0.001,0.148,0.062,0.026,0.0,0.047,0.037,0.075,0.04,0.009,0.083,0.064,0.062,0.024,0.027
2020-2029,0.297,0.0,0.0,0.0,0.0,0.178,0.034,0.025,0.0,0.034,0.034,0.068,0.025,0.0,0.119,0.068,0.068,0.051,0.0
Total,0.227,0.009,0.0,0.003,0.009,0.088,0.088,0.077,0.0,0.072,0.057,0.069,0.055,0.023,0.057,0.054,0.044,0.034,0.032
