,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1920-1929,0.105,0.189,0.0,0.021,0.042,0.011,0.063,0.095,0.0,0.116,0.063,0.042,0.032,0.021,0.042,0.137,0.021
1930-1939,0.052,0.207,0.0,0.074,0.156,0.022,0.022,0.059,0.0,0.156,0.126,0.03,0.007,0.015,0.007,0.059,0.007
1940-1949,0.09,0.171,0.0,0.042,0.082,0.027,0.11,0.085,0.0,0.146,0.081,0.039,0.029,0.004,0.023,0.059,0.01
1950-1959,0.071,0.115,0.0,0.05,0.101,0.028,0.085,0.123,0.0,0.194,0.087,0.027,0.017,0.017,0.021,0.057,0.007
1960-1969,0.12,0.035,0.0,0.016,0.035,0.038,0.099,0.177,0.0,0.117,0.095,0.071,0.053,0.038,0.023,0.061,0.023
1970-1979,0.154,0.01,0.0,0.003,0.014,0.048,0.118,0.165,0.0,0.096,0.088,0.078,0.062,0.04,0.043,0.053,0.03
1980-1989,0.207,0.003,0.0,0.001,0.005,0.068,0.119,0.108,0.0,0.087,0.063,0.081,0.066,0.036,0.053,0.057,0.047
1990-1999,0.27,0.001,0.0,0.0,0.003,0.09,0.108,0.054,0.0,0.072,0.062,0.077,0.082,0.023,0.059,0.056,0.044
2000-2009,0.331,0.0,0.0,0.0,0.001,0.135,0.065,0.035,0.0,0.055,0.041,0.066,0.053,0.016,0.081,0.057,0.063
2010-2019,0.31,0.0,0.0,0.0,0.001,0.156,0.066,0.027,0.0,0.05,0.039,0.079,0.042,0.01,0.088,0.068,0.065
2020-2029,0.312,0.0,0.0,0.0,0.0,0.188,0.036,0.027,0.0,0.036,0.036,0.071,0.027,0.0,0.125,0.071,0.071
Total,0.184,0.066,0.0,0.019,0.04,0.074,0.081,0.087,0.0,0.102,0.071,0.06,0.043,0.02,0.051,0.067,0.035
