,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,10,18,0,2,4,1,6,9,0,11,6,4,3,2,4,13,2,10,1
1930-1939,7,28,0,10,21,3,3,8,0,21,17,4,1,2,1,8,1,15,1
1940-1949,62,118,0,29,57,19,76,59,0,101,56,27,20,3,16,41,7,72,5
1950-1959,51,82,0,36,72,20,61,88,0,139,62,19,12,12,15,41,5,79,4
1960-1969,404,117,0,54,117,129,333,596,0,394,319,239,179,129,77,204,78,195,118
1970-1979,1140,72,0,23,101,354,871,1216,0,709,650,573,460,297,315,389,221,291,282
1980-1989,1637,20,0,7,42,540,940,854,0,688,503,640,525,287,419,451,370,264,240
1990-1999,2352,8,0,3,23,783,944,473,0,627,539,672,713,199,511,490,385,300,368
2000-2009,3244,3,0,3,8,1323,633,340,0,541,404,644,522,160,796,553,613,289,362
2010-2019,2396,0,0,1,6,1206,507,209,0,383,302,612,325,76,676,522,504,198,218
2020-2029,35,0,0,0,0,21,4,3,0,4,4,8,3,0,14,8,8,6,0
Total,11338,466,0,168,451,4399,4378,3855,0,3618,2862,3442,2763,1167,2844,2720,2194,1719,1599
