,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1960-1969,0,10,5,1,1,0,0,1,0,3,0,0,0,0,0,0,0,3,0,12
1970-1979,1,5,2,1,0,1,0,0,0,0,0,1,0,1,2,0,0,2,0,0
1980-1989,7,14,2,0,2,2,0,4,0,4,2,1,1,0,2,1,0,6,5,3
1990-1999,26,10,5,1,2,9,0,5,0,4,1,0,9,4,8,7,0,6,3,2
2000-2009,37,8,1,1,0,14,0,8,0,0,2,0,5,6,14,4,1,4,4,0
2010-2019,41,1,0,0,0,26,0,30,0,3,1,1,15,6,9,11,0,2,3,0
2020-2029,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Total,113,49,17,4,5,52,0,48,0,14,6,3,30,19,35,24,1,23,15,17
