,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-1969,1,14,9,1,0,1,0,1,0,2,1,6,0,0,1,0,1,4,0,5
1970-1979,1,9,8,2,0,1,0,1,0,2,0,6,0,0,2,0,0,1,1,3
1980-1989,14,18,17,1,3,7,0,6,0,2,2,3,4,1,16,2,0,5,0,0
1990-1999,41,17,4,2,2,24,0,6,0,1,2,3,7,12,12,9,0,10,6,1
2000-2009,66,6,2,0,1,26,0,21,0,2,1,2,12,18,15,8,0,4,4,0
2010-2019,114,18,2,1,0,86,0,64,0,3,7,0,24,17,9,28,0,2,6,0
2020-2029,4,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0
Total,241,82,44,7,6,145,0,101,0,12,13,20,51,48,55,47,1,27,17,9
