,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,
1960-1969,0.009,0.039,0.031,0.018,0.044,0.044,0.013,0.026,0.0,0.0,0.009,0.096,0.338,0.061,0.004,0.048,0.035,0.088,0.088,0.009
1970-1979,0.013,0.029,0.031,0.087,0.109,0.155,0.062,0.009,0.013,0.008,0.018,0.066,0.088,0.082,0.019,0.04,0.016,0.07,0.056,0.029
1980-1989,0.01,0.021,0.037,0.083,0.09,0.135,0.072,0.009,0.023,0.01,0.025,0.08,0.071,0.113,0.023,0.04,0.015,0.056,0.055,0.033
1990-1999,0.013,0.009,0.038,0.074,0.07,0.148,0.05,0.026,0.059,0.02,0.024,0.054,0.064,0.127,0.033,0.023,0.017,0.066,0.051,0.035
2000-2009,0.014,0.012,0.04,0.052,0.051,0.133,0.026,0.025,0.036,0.026,0.021,0.041,0.074,0.173,0.075,0.032,0.04,0.048,0.045,0.034
2010-2019,0.013,0.009,0.041,0.033,0.073,0.101,0.017,0.076,0.013,0.027,0.028,0.027,0.048,0.174,0.08,0.032,0.057,0.068,0.051,0.032
2020-2029,0.0,0.004,0.004,0.159,0.054,0.124,0.035,0.14,0.019,0.004,0.008,0.012,0.078,0.194,0.054,0.0,0.035,0.031,0.047,0.0
Total,0.012,0.016,0.037,0.065,0.078,0.133,0.044,0.031,0.029,0.019,0.023,0.053,0.069,0.136,0.047,0.033,0.03,0.061,0.052,0.032
