,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,0,133,0,3,0,0,0,22,0,0,0,0,2,0,0,0,0,0,1
1930-1939,0,0,398,0,14,0,0,0,84,0,0,0,0,3,0,0,0,0,0,1
1940-1949,0,0,364,0,12,0,0,0,146,0,0,0,0,7,0,0,0,0,0,1
1950-1959,0,0,140,0,19,0,0,0,134,0,0,0,0,14,0,0,0,0,0,4
1960-1969,0,0,108,0,17,0,0,0,147,0,0,0,0,28,0,0,0,0,0,2
1970-1979,0,0,59,0,7,0,0,0,111,0,0,0,0,12,0,0,0,0,0,2
1980-1989,0,0,30,0,0,0,0,0,84,0,0,0,0,5,0,0,0,1,0,1
1990-1999,0,0,11,0,3,0,0,0,29,0,0,0,0,2,0,0,0,0,0,0
2000-2009,0,0,5,0,1,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0
2010-2019,0,0,6,0,2,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0
2020-2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,1254,0,78,0,0,0,783,0,0,0,0,76,0,0,0,1,0,12
