,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1920-1929,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.882,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795,0.0,0.205,0.0,0.0,0.0,0.0,0.0,0.0
1940-1949,0.006,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.647,0.0,0.312,0.0,0.0,0.0,0.0,0.0,0.029
1950-1959,0.05,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.459,0.0,0.412,0.0,0.0,0.0,0.0,0.0,0.075
1960-1969,0.082,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.361,0.0,0.537,0.0,0.0,0.0,0.0,0.0,0.012
1970-1979,0.06,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.276,0.0,0.634,0.0,0.0,0.0,0.0,0.0,0.022
1980-1989,0.026,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.211,0.0,0.711,0.0,0.0,0.0,0.0,0.0,0.026
1990-1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.048
2000-2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.048
2010-2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.571,0.0,0.0,0.0,0.0,0.0,0.143
2020-2029,,,,,,,,,,,,,,,,,
Total,0.022,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.449,0.0,0.477,0.0,0.0,0.0,0.0,0.0,0.04
