,0,1,2,3,4
1920-1929,0.5,0.0,0.5,0.0,0.0
1930-1939,0.619,0.0,0.381,0.0,0.0
1940-1949,0.225,0.183,0.392,0.108,0.092
1950-1959,0.454,0.009,0.435,0.057,0.044
1960-1969,0.259,0.105,0.301,0.14,0.194
1970-1979,0.11,0.233,0.145,0.188,0.325
1980-1989,0.091,0.274,0.089,0.232,0.314
1990-1999,0.052,0.349,0.051,0.242,0.306
2000-2009,0.033,0.396,0.035,0.222,0.313
2010-2019,0.039,0.406,0.021,0.222,0.313
2020-2029,0.036,0.429,0.036,0.036,0.464
Total,0.22,0.217,0.217,0.132,0.215
