,0,1,2,3,4,5,6,7,8,9
1920-1929,0,0,0,554,0,0,0,0,0,1
1930-1939,1,0,0,1199,0,2,0,1,0,1
1940-1949,0,0,0,1214,0,0,0,0,1,4
1950-1959,0,0,0,1103,0,0,0,0,0,3
1960-1969,0,1,0,1036,0,0,1,1,0,0
1970-1979,1,0,0,579,0,1,1,0,0,0
1980-1989,0,0,0,336,0,0,0,0,0,0
1990-1999,0,0,0,152,0,0,0,0,0,0
2000-2009,0,0,0,98,0,0,0,0,0,0
2010-2019,0,0,0,110,0,0,0,0,0,0
2020-2029,0,0,0,0,0,0,0,0,0,0
Total,2,1,0,6381,0,3,2,2,1,9
