,0,1,2,3,4,5,6,7,8,9
1920-1929,1526,1752,4023,2081,7603,1625,1132,4395,1767,4784
1930-1939,2099,2313,7411,2556,7853,2294,1589,5392,2189,5749
1940-1949,2335,2556,7287,2979,7597,2186,1863,5011,2357,4969
1950-1959,2747,2821,6346,3450,6294,2709,2040,5467,2470,4866
1960-1969,6402,5207,7277,5349,7588,4992,5079,7128,4726,6704
1970-1979,8392,7171,6470,7246,6525,7149,8407,6636,6953,6481
1980-1989,6796,5617,4410,6161,3880,6065,6560,4539,5712,4198
1990-1999,5984,5076,3060,6414,2708,6401,6334,3541,6314,4205
2000-2009,6107,5752,2933,6149,2347,6797,7008,3344,7422,3316
2010-2019,4818,5032,2291,5013,1792,5218,5676,2453,6776,2361
2020-2029,60,93,29,60,27,49,101,29,161,32
Total,47266,43390,51537,47458,54214,45485,45789,47935,46847,47665
