,0,1,2,3,4,5,6,7,8,9
1920-1929,58,24,52,9,41,10,41,94,19,57
1930-1939,44,26,63,13,59,19,22,106,15,56
1940-1949,74,107,161,90,234,75,67,218,93,117
1950-1959,320,247,495,278,473,234,217,405,219,367
1960-1969,1004,776,850,649,869,675,733,1081,672,764
1970-1979,2187,1749,1267,1449,1281,1477,1897,1384,1537,1420
1980-1989,3206,2666,1844,2917,1541,2862,3377,2048,3020,1808
1990-1999,4871,4185,2226,4488,1972,4951,4842,2833,5108,2892
2000-2009,4840,4441,1978,4813,1756,5371,5742,2567,5884,2497
2010-2019,3203,3245,1486,3093,1148,3319,4110,1537,4361,1470
2020-2029,51,40,14,29,10,29,23,18,56,11
Total,19858,17506,10436,17828,9384,19022,21071,12291,20984,11459
