,0,1,2,3,4,5,6,7,8,9
1920-1929,0.05,0.057,0.131,0.068,0.248,0.053,0.037,0.143,0.058,0.156
1930-1939,0.053,0.059,0.188,0.065,0.199,0.058,0.04,0.137,0.055,0.146
1940-1949,0.06,0.065,0.186,0.076,0.194,0.056,0.048,0.128,0.06,0.127
1950-1959,0.07,0.072,0.162,0.088,0.161,0.069,0.052,0.139,0.063,0.124
1960-1969,0.106,0.086,0.12,0.088,0.126,0.083,0.084,0.118,0.078,0.111
1970-1979,0.117,0.1,0.091,0.101,0.091,0.1,0.118,0.093,0.097,0.091
1980-1989,0.126,0.104,0.082,0.114,0.072,0.112,0.122,0.084,0.106,0.078
1990-1999,0.12,0.101,0.061,0.128,0.054,0.128,0.127,0.071,0.126,0.084
2000-2009,0.119,0.112,0.057,0.12,0.046,0.133,0.137,0.065,0.145,0.065
2010-2019,0.116,0.121,0.055,0.121,0.043,0.126,0.137,0.059,0.164,0.057
2020-2029,0.094,0.145,0.045,0.094,0.042,0.076,0.158,0.045,0.251,0.05
Total,0.099,0.091,0.108,0.099,0.114,0.095,0.096,0.1,0.098,0.1
