lemmas,0,1,2,3,4,5,6,7,8,9
mass,0.001,0.004,0.221,0.171,0.134,0.155,0.167,0.031,0.026,0.088
medi,0.292,0.268,0.004,0.03,0.058,0.034,0.017,0.131,0.117,0.049
