,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-1969,0.002,0.092,0.153,0.103,0.107,0.0,0.098,0.0,0.088,0.059,0.057,0.215,0.002,0.0,0.0,0.0,0.021,0.002,0.0
1970-1979,0.002,0.108,0.124,0.144,0.113,0.002,0.106,0.0,0.12,0.059,0.077,0.077,0.002,0.003,0.003,0.0,0.053,0.007,0.002
1980-1989,0.004,0.124,0.1,0.146,0.113,0.005,0.147,0.0,0.104,0.057,0.093,0.03,0.002,0.023,0.004,0.0,0.034,0.008,0.005
1990-1999,0.009,0.162,0.08,0.105,0.107,0.009,0.08,0.0,0.109,0.091,0.057,0.034,0.007,0.043,0.002,0.0,0.071,0.023,0.011
2000-2009,0.086,0.114,0.01,0.0,0.076,0.067,0.0,0.0,0.067,0.162,0.01,0.0,0.01,0.133,0.029,0.0,0.171,0.048,0.019
2010-2019,0.091,0.0,0.045,0.0,0.091,0.091,0.0,0.0,0.0,0.045,0.0,0.0,0.091,0.227,0.0,0.0,0.318,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,
Total,0.028,0.086,0.109,0.071,0.087,0.025,0.097,0.036,0.105,0.068,0.042,0.051,0.016,0.061,0.005,0.0,0.095,0.012,0.005
