,0,1,2,3,4
1920-1929,0.556,0.0,0.0,0.444,0.0
1930-1939,0.5,0.0,0.0,0.5,0.0
1940-1949,0.816,0.0,0.02,0.163,0.0
1950-1959,0.632,0.0,0.01,0.358,0.0
1960-1969,0.591,0.0,0.055,0.352,0.003
1970-1979,0.675,0.0,0.04,0.285,0.0
1980-1989,0.659,0.0,0.051,0.29,0.0
1990-1999,0.607,0.004,0.04,0.349,0.0
2000-2009,0.582,0.0,0.062,0.356,0.0
2010-2019,0.646,0.013,0.038,0.304,0.0
2020-2029,1.0,0.0,0.0,0.0,0.0
Total,0.627,0.001,0.042,0.33,0.001
