0,1,2,3,4
ge,ge,fråga,både,fråga
behövs,fråga,ytterligare,ge,sprida
lämna,ytterligare,frågan,sprida,borgerliga
nå,lämna,tycker,samt,bör
sprida,utskottet,utskottet,frågor,tror
bör,talman,fru,ökad,sverige
allmänheten,vissa,talman,bör,sätt
människor,lämnat,tror,behovet,land
sätt,statsrådet,riksdagen,forskning,område
tillgång,herr,all,allmänheten,viss
all,endast,regeringen,åtgärder,m
kunskap,lämnas,år,utbildning,herr
ger,lämnats,statsrådet,insatser,form
behöver,kammaren,herr,stöd,driva
ges,närmare,intressant,verksamhet,politisk
möjlighet,kompletterande,ger,kunskap,bedriva
möjligheter,inhämtat,tillräcklig,nya,politiska
korrekt,inhämta,vet,behov,bedriver
se,lämnade,bristande,a,s
handlar,rörande,felaktig,rådgivning,socialdemokratiska
